sample,norm
1000,15.427248620541512
2000,14.106735979665885
3000,12.24744871391589
4000,9.9498743710662
5000,11.224972160321824
6000,8.94427190999916
7000,9.433981132056603
8000,8.888194417315589
9000,7.483314773547883
10000,6.6332495807108
11000,7.14142842854285
12000,8.306623862918075
13000,7.3484692283495345
14000,7.810249675906654
15000,7.483314773547883
16000,7.874007874011811
17000,7.416198487095663
18000,7.681145747868608
19000,7.54983443527075
20000,4.0
21000,4.47213595499958
22000,7.483314773547883
23000,5.291502622129181
24000,4.358898943540674
25000,7.54983443527075
26000,5.916079783099616
27000,4.358898943540674
28000,5.0
29000,4.795831523312719
30000,5.0
31000,5.291502622129181
32000,4.242640687119285
33000,5.0990195135927845
34000,3.872983346207417
35000,5.196152422706632
36000,4.795831523312719
37000,1.0
38000,5.0990195135927845
39000,3.7416573867739413
40000,3.3166247903554
41000,4.898979485566356
42000,5.385164807134504
43000,4.0
44000,5.744562646538029
45000,3.1622776601683795
46000,4.123105625617661
47000,3.1622776601683795
48000,4.0
49000,3.872983346207417
50000,2.8284271247461903
51000,3.1622776601683795
52000,2.6457513110645907
53000,0.0
54000,3.0
55000,3.7416573867739413
56000,4.242640687119285
57000,3.4641016151377544
58000,5.291502622129181
59000,4.358898943540674
60000,3.4641016151377544
61000,3.605551275463989
62000,3.1622776601683795
63000,2.0
64000,1.4142135623730951
65000,3.3166247903554
66000,3.4641016151377544
67000,1.4142135623730951
68000,2.6457513110645907
69000,3.0
70000,2.449489742783178
71000,2.449489742783178
72000,2.449489742783178
73000,1.7320508075688772
74000,2.0
75000,2.0
76000,4.0
77000,2.0
78000,2.8284271247461903
79000,3.605551275463989
80000,3.7416573867739413
81000,1.7320508075688772
82000,4.47213595499958
83000,2.23606797749979
84000,1.4142135623730951
85000,2.449489742783178
86000,2.23606797749979
87000,2.6457513110645907
88000,3.3166247903554
89000,2.8284271247461903
90000,1.4142135623730951
91000,1.4142135623730951
92000,2.23606797749979
93000,3.0
94000,3.605551275463989
95000,2.23606797749979
96000,2.6457513110645907
97000,3.0
98000,2.23606797749979
99000,2.0
100000,2.0
