i,player_name,player_id,avg_rank
8,Steffi Graf,200414,1.0
20,Serena Williams,200033,2.0
0,Martina Navratilova,200293,3.0
17,Lindsay Davenport,200128,4.0
10,Monica Seles,200652,5.0
15,Martina Hingis,200001,6.499634
1,Chris Evert,200259,6.751244
30,Maria Sharapova,201345,7.749122
39,Simona Halep,201594,9.0
18,Venus Williams,200748,10.0
24,Kim Clijsters,200079,11.499355
11,Arantxa Sanchez Vicario,200017,11.500645
19,Justine Henin,200003,13.0
33,Caroline Wozniacki,201496,14.499885
21,Amelie Mauresmo,200065,14.500115
46,Ashleigh Barty,202458,16.499912
9,Gabriela Sabatini,200572,16.749831
35,Victoria Azarenka,201458,17.750257
12,Conchita Martinez,200049,19.0
14,Jana Novotna,200539,20.500256
49,Iga Swiatek,216347,20.874816
41,Angelique Kerber,201493,21.749935
45,Naomi Osaka,211768,23.312947
31,Jelena Jankovic,201347,23.562046
29,Dinara Safina,201336,25.0
47,Aryna Sabalenka,214544,26.0
42,Karolina Pliskova,201662,27.0
23,Jennifer Capriati,200077,28.0
37,Agnieszka Radwanska,201474,29.0
40,Garbine Muguruza,202469,30.0
28,Svetlana Kuznetsova,201320,31.499282
4,Hana Mandlikova,200348,31.500718
36,Petra Kvitova,201520,33.0
34,Vera Zvonareva,201329,34.0
38,Na Li,201419,35.0
32,Ana Ivanovic,201421,36.0
54,Jessica Pegula,202468,37.0
3,Pam Shriver,200360,38.0
27,Anastasia Myskina,200772,39.0
53,Ons Jabeur,202460,40.0
13,Mary Pierce,200096,41.0
52,Anett Kontaveit,204426,42.0
48,Barbora Krejcikova,206252,43.0
56,Coco Gauff,221103,44.0
7,Gretchen Magers,200503,45.0
43,Elina Svitolina,202494,46.0
50,Maria Sakkari,206289,47.499124
51,Paula Badosa,211651,47.500876
55,Elena Rybakina,214981,49.0
44,Sloane Stephens,201585,50.0
2,Andrea Jaeger,200381,51.0
26,Elena Dementieva,200108,52.0
5,Wendy Turnbull,200209,53.499578
22,Nadia Petrova,200069,53.500422
6,Manuela Maleeva Fragniere,200401,55.0
16,Amanda Coetzer,200064,56.499934
25,Nathalie Tauziat,200097,56.500066
