i,player_name,player_id,avg_rank
66,Roger Federer,103819,1.0
72,Rafael Nadal,104745,2.0
78,Novak Djokovic,104925,3.0
36,Pete Sampras,101948,4.0
7,Jimmy Connors,100284,5.499568
19,Ivan Lendl,100656,5.500432
27,Boris Becker,101414,7.499805
32,Andre Agassi,101736,7.500195
28,Stefan Edberg,101222,9.0
15,John McEnroe,100581,10.49986
80,Andy Murray,104918,10.50014
21,Mats Wilander,101062,12.0
10,Bjorn Borg,100437,13.0
45,Yevgeny Kafelnikov,102338,14.0
11,Guillermo Vilas,100282,15.499847
67,Andy Roddick,104053,15.500153
62,Lleyton Hewitt,103720,17.0
33,Michael Chang,102021,18.0
94,Daniil Medvedev,106421,20.00024
39,Jim Courier,101793,20.166552
79,David Ferrer,103970,20.250156
85,Stan Wawrinka,104527,22.771975
60,Marat Safin,103498,22.831733
61,Juan Carlos Ferrero,103507,24.583611
88,Alexander Zverev,100644,25.104079
73,Nikolay Davydenko,103786,25.260724
54,Gustavo Kuerten,102856,26.520071
41,Goran Ivanisevic,101964,27.510859
14,Vitas Gerulaitis,100342,29.0
46,Thomas Muster,101404,30.0
50,Carlos Moya,102845,31.0
49,Patrick Rafter,102158,32.499348
93,Stefanos Tsitsipas,126774,32.751272
40,Michael Stich,101529,33.74938
81,Juan Martin del Potro,105223,35.0
90,Dominic Thiem,106233,36.499694
38,Sergi Bruguera,101843,36.500306
68,Guillermo Coria,103909,38.0
22,Yannick Noah,100676,39.499662
97,Carlos Alcaraz,207989,39.500338
86,Kei Nishikori,105453,41.499657
58,Magnus Norman,102796,41.500343
42,Petr Korda,101434,43.499816
24,Andres Gomez,100653,43.500184
53,Marcelo Rios,102701,45.500309
82,Robin Soderling,104417,46.185983
96,Casper Ruud,134770,47.626035
70,David Nalbandian,103900,47.998953
74,Ivan Ljubicic,103344,48.844149
55,Tim Henman,102450,49.250766
13,Brian Gottfried,100261,50.949736
20,Jose Luis Clerc,100555,51.644069
18,Gene Mayer,100428,53.0
63,Tommy Haas,103163,54.499897
89,Marin Cilic,105227,55.125555
95,Andrey Rublev,126094,56.249974
30,Miloslav Mecir,101036,56.499052
16,Roscoe Tanner,100255,57.966726
91,Grigor Dimitrov,105777,58.98793
48,Alex Corretja,102374,60.509286
2,Ilie Nastase,100119,61.16511
84,Tomas Berdych,104607,61.742712
34,Brad Gilbert,100763,62.998543
47,Richard Krajicek,101990,63.390457
51,Greg Rusedski,102257,65.432195
5,John Newcombe,100087,65.432563
87,Milos Raonic,105683,67.0
52,Jonas Bjorkman,102035,68.0
4,Manuel Orantes,100174,69.0
77,Fernando Gonzalez,103602,70.0
75,James Blake,103484,71.499781
12,Raul Ramirez,100309,71.500219
23,Jimmy Arias,101061,73.500638
8,Tom Okker,100084,73.998734
57,Nicolas Kiefer,103017,75.625353
100,Jannik Sinner,206173,75.627111
37,Guy Forget,101098,76.483434
0,Rod Laver,100029,77.76473
31,Pat Cash,101138,80.998788
44,Todd Martin,101774,81.001682
3,Stan Smith,100126,81.165206
92,Kevin Anderson,104731,81.16799
83,Jo-Wilfried Tsonga,104542,81.267311
17,Eddie Dibbs,100232,83.860035
56,Thomas Enqvist,102358,84.538988
25,Kevin Curren,100529,86.0
99,Holger Rune,208029,87.0
43,Andrei Medvedev,102446,88.0
1,Arthur Ashe,100074,89.0
9,Ken Rosewall,100016,90.0
29,Henri Leconte,100936,91.0
69,Rainer Schuettler,102783,92.999136
76,Tommy Robredo,103990,92.999407
35,Harold Solomon,100286,93.001457
26,Anders Jarryd,100757,96.498883
98,Taylor Fritz,126203,96.499643
59,Cedric Pioline,101611,96.50037
71,Gaston Gaudio,103292,96.501104
64,Jiri Novak,102562,99.999754
65,Sebastien Grosjean,103206,100.000002
6,Jan Kodes,100113,100.000244
