player_id,player_name,rank
100119,Ilie Nastase,0.0045802305974451726
100126,Stan Smith,0.002641281284241889
100174,Manuel Orantes,0.003064671510133675
100087,John Newcombe,0.004995710964274994
100284,Jimmy Connors,0.04866950869786514
100084,Tom Okker,0.0030577649751812267
100029,Rod Laver,0.0031703877847423794
100437,Bjorn Borg,0.028435343101946516
100016,Ken Rosewall,0.0029046432346058215
100282,Guillermo Vilas,0.011874388360479063
100074,Arthur Ashe,0.0026353996355737374
100261,Brian Gottfried,0.003682838966488536
100581,John McEnroe,0.043191636441164416
100342,Vitas Gerulaitis,0.0028968972963353936
100656,Ivan Lendl,0.056898419429173945
101062,Mats Wilander,0.021258647179009688
101414,Boris Becker,0.03280978297931965
100676,Yannick Noah,0.002762041080778427
101222,Stefan Edberg,0.04382675248653867
101736,Andre Agassi,0.03694218769409281
101529,Michael Stich,0.00947597385512058
101793,Jim Courier,0.020055634128991577
101948,Pete Sampras,0.06219012840537788
101964,Goran Ivanisevic,0.006842016664765354
101843,Sergi Bruguera,0.0034185956215596076
101404,Thomas Muster,0.01356195084237429
102021,Michael Chang,0.012324603196579364
102338,Yevgeny Kafelnikov,0.013308174779093483
102158,Patrick Rafter,0.009746493726316079
101434,Petr Korda,0.00605965935183552
102701,Marcelo Rios,0.008618239118682952
102374,Alex Corretja,0.004602377121548568
102845,Carlos Moya,0.003446175625442143
102856,Gustavo Kuerten,0.015464944115001097
102796,Magnus Norman,0.0046258377570025455
103498,Marat Safin,0.01377890276838611
103720,Lleyton Hewitt,0.021954304595307707
103507,Juan Carlos Ferrero,0.01289489929673902
103163,Tommy Haas,0.005662526835150731
103819,Roger Federer,0.08664322115324373
104053,Andy Roddick,0.019139639028477325
103909,Guillermo Coria,0.004879436201842937
104745,Rafael Nadal,0.07943673773247903
103900,David Nalbandian,0.005029373783888531
103344,Ivan Ljubicic,0.003766446796288573
103786,Nikolay Davydenko,0.004570539597595886
104925,Novak Djokovic,0.0814617092759475
104918,Andy Murray,0.02748387342546106
103970,David Ferrer,0.004747240278579519
104527,Stan Wawrinka,0.008801577293911358
105683,Milos Raonic,0.003625900839328066
100644,Alexander Zverev,0.010628896877250599
105777,Grigor Dimitrov,0.0035364412218810283
105227,Marin Cilic,0.0036514587161102347
105223,Juan Martin del Potro,0.002845718672408725
106233,Dominic Thiem,0.0055105806813904494
106421,Daniil Medvedev,0.01544596972426005
126774,Stefanos Tsitsipas,0.0052927422606476125
207989,Carlos Alcaraz,0.010460343216198435
134770,Casper Ruud,0.004712181718144373
